tweet_id,full_text,name,stage,rating_ratio,retweet_count,favorite_count,rating_numerator,rating_denominator,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,date,time,source,jpg_url
892420643555336193,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,Phineas,,1.3,7024,33863,13.0,10.0,1,Orange,0.0970486,False,Bagel,0.0858511,False,Banana,0.07611,False,2017-08-01,16:23:56,Twitter for iPhone,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg
892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",Tilly,,1.3,5305,29365,13.0,10.0,1,Chihuahua,0.323581,True,Pekinese,0.0906465,True,Papillon,0.0689569,True,2017-08-01,00:17:27,Twitter for iPhone,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg
891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,Archie,,1.2,3488,22088,12.0,10.0,1,Chihuahua,0.716012,True,Malamute,0.078253,True,Kelpie,0.0313789,True,2017-07-31,00:18:03,Twitter for iPhone,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg
891689557279858688,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,Darla,,1.3,7237,36989,13.0,10.0,1,Paper Towel,0.1702779999999999,False,Labrador Retriever,0.1680859999999999,True,Spatula,0.0408359,False,2017-07-30,15:58:51,Twitter for iPhone,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg
891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",Franklin,,1.2,7775,35364,12.0,10.0,2,Basset,0.555712,True,English Springer,0.2257699999999999,True,German Short-Haired Pointer,0.175219,True,2017-07-29,16:00:24,Twitter for iPhone,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg
891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,,,1.3,2605,17834,13.0,10.0,1,Chesapeake Bay Retriever,0.425595,True,Irish Terrier,0.116317,True,Indian Elephant,0.0769021999999999,False,2017-07-29,00:08:17,Twitter for iPhone,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg
890971913173991426,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",Jax,,1.3,1673,10382,13.0,10.0,1,Appenzeller,0.341703,True,Border Collie,0.199287,True,Ice Lolly,0.193548,False,2017-07-28,16:27:12,Twitter for iPhone,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg
890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,,,1.3,15784,56913,13.0,10.0,2,Pomeranian,0.566142,True,Eskimo Dog,0.1784059999999999,True,Pembroke,0.0765069,True,2017-07-28,00:22:40,Twitter for iPhone,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg
890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,Zoey,,1.3,3628,24554,13.0,10.0,1,Irish Terrier,0.4875739999999999,True,Irish Setter,0.193054,True,Chesapeake Bay Retriever,0.118184,True,2017-07-27,16:25:51,Twitter for iPhone,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg
890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,Cassie,doggo,1.4,6108,27989,14.0,10.0,1,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True,2017-07-26,15:59:51,Twitter for iPhone,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg
890006608113172480,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,Koda,,1.3,6159,27075,13.0,10.0,1,Samoyed,0.957979,True,Pomeranian,0.0138835,True,Chow,0.00816748,True,2017-07-26,00:31:25,Twitter for iPhone,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg
889880896479866881,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,Bruno,,1.3,4175,24600,13.0,10.0,1,French Bulldog,0.377417,True,Labrador Retriever,0.151317,True,Muzzle,0.0829811,False,2017-07-25,16:11:53,Twitter for iPhone,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg
